"","pval_T2D_PSC","NES_T2D_PSC","pval_Aging_PSC","NES_Aging_PSC","pval_BMI_PSC","NES_BMI_PSC"
"APPIERTO_RESPONSE_TO_FENRETINIDE_DN",0.013845734,-1.773922817,0.076184900495941,1.49338557559378,0.369727047146402,-1.0810675022393
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_CAF_4",7.02e-07,2.367133568,3.53490566884509e-06,-2.03238936117993,0.000412992421134813,1.87905764998358
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_LIPID_METABOLISM",4.46e-07,-2.903867785,0.0977157360406091,-1.3741069788026,0.0635696821515893,-1.52798419808786
"GOBP_CELL_MATRIX_ADHESION",0.00221071,1.874894633,0.121789001465195,1.30887183813553,0.858611825192802,-0.712687790242869
"GOBP_CELL_PROJECTION_MORPHOGENESIS",1.32e-06,2.295214766,0.0242438136155678,-1.48916245403509,0.69672131147541,0.85689305007191
"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION",0.001182357,1.88557264,0.713197969543147,-0.829160303914115,0.718381112984823,0.814806496219963
"GOBP_CELLULAR_RESPIRATION",0.000522761,-2.268806352,0.00476873648808763,1.9573939518331,0.0274526217035644,-1.63502650104475
"GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE",0.004207883,-1.925294801,0.00245731635734432,1.87909736001973,0.0119967329565825,-1.61260040876586
"GOBP_COLLAGEN_METABOLIC_PROCESS",0.0031927,1.80287802,0.058374829298484,1.36917817941254,0.676222596964587,0.849406922648451
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS",0.001053165,1.9261053,0.194341943419434,-1.2254944416716,0.0694214876033058,1.4140903849468
"GOBP_MITOTIC_CELL_CYCLE_PROCESS",0.000358441,1.909960973,0.0638063806380638,-1.34930652543883,0.220949263502455,1.16472628028005
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",0.000373112,1.976208728,0.166666666666667,-1.24511998571208,0.198697068403909,1.21554189357132
"GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS",1.9e-05,1.812750746,0.00609573608005343,-1.44531855307522,0.131616595135908,1.19956855838787
"GOBP_PROTEIN_REFOLDING",0.000256404,-1.609988341,0.165394402035623,1.27958100273073,0.566666666666667,-0.977744035424793
"GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION",0.009168218,1.682011882,0.906748466257669,-0.665223133158867,0.17910447761194,-1.27632070972768
"GOBP_REGULATION_OF_LIPID_STORAGE",0.021521937,-1.795291031,0.214285714285714,1.21694499689172,0.855813953488372,-0.668647714788217
"GOBP_SPINDLE_LOCALIZATION",0.001041187,1.908520386,0.624123422159888,-0.898282093787613,0.520979020979021,0.975679789914739
"GOCC_LATE_ENDOSOME",0.000758444523595589,-2.07538698591645,3.81534278968198e-05,2.22854653015194,0.008425732266343,-1.64684554410388
"GOMF_FIBRONECTIN_BINDING",0.000832815,1.860186378,0.0353664563475731,1.63005253367996,0.495348837209302,-0.978519720883569
"GOMF_LIPID_BINDING",0.031751033,-1.39757612,0.0889061788020144,1.31064445345146,0.000322974789609774,-1.93027342829822
"GOMF_OXIDOREDUCTASE_ACTIVITY",0.000842615,-1.726406082,7.67831210386032e-07,2.29385393621194,0.0188101802565303,-1.51896546801716
"GOMF_PROTEIN_KINASE_ACTIVITY",0.000925891,1.950066504,0.0166917069214564,-1.55355981422846,0.046241269971729,1.49586935742669
"GOMF_RETINAL_DEHYDROGENASE_ACTIVITY",0.032160221,-1.581484359,0.256267409470752,1.23427061904845,0.00767213269296061,-1.5622329239304
"GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY",0.00141064488881826,-1.86422818917298,0.0266827882488166,1.39256430106499,0.0141371128347153,-1.56724107090924
"HALLMARK_ADIPOGENESIS",0.002355935,-2.056532202,0.0284609226841245,1.60319855866763,0.0191663018866106,-1.6591693217001
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.16e-05,-2.537593147,0.000271992653459151,2.23662627708367,0.000197680163719833,-2.05239564133167
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.01305343,-1.6711353,0.0143727163934749,1.42377928315228,0.440203562340967,-1.01155037550221
"MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL",9.44e-06,1.90125388,0.602642276422764,-0.958793552277833,0.102272727272727,1.22132759748796
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",0.000505761,-2.273280733,0.00782435445873072,1.87876523578986,0.00132101620225347,-1.96715173054688
"REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS",0.00105387,1.897636654,0.599486521181001,-0.912257144008873,0.131886477462437,1.32546834074971
